PROTID	GENEID	PROTLEN	C1_SPC	C2_SPC	HDAC5_1_SPC	HDAC5_2_SPC
PROTID	GENEID	PROTLEN	C	C	HDAC5	HDAC5
Q9Y6M1	IGF2BP2	599	9	2	2	0
Q9Y697	NFS1	457	0	0	14	8
Q9Y618	NCOR2	2525	0	0	19	16
Q9Y617	PSAT1	370	6	3	0	0
Q9Y5S9	RBM8A	174	1	0	2	0
Q9Y5Q9	GTF3C3	886	2	0	0	0
Q9Y5M8	SRPRB	271	2	0	0	0
Q9Y5B9	SUPT16H	1047	26	13	3	0
Q9Y5A9	YTHDF2	579	2	0	8	3
Q9Y520	PRRC2C	2896	0	8	0	0
Q9Y4W6	AFG3L2	797	3	1	3	4
Q9Y4W2	LAS1L	734	3	2	0	0
Q9Y4R8	TELO2	837	0	0	2	0
Q9Y4L1	HYOU1	999	4	5	0	0
Q9Y4C8	RBM19	960	3	0	0	0
Q9Y490	TLN1	2541	18	2	0	2
Q9Y3Y2	CHTOP	248	1	2	0	0
Q9Y3T9	NOC2L	749	7	0	0	0
Q9Y3I0	C22orf28	505	4	0	0	0
Q9Y3F4	STRAP	350	6	1	9	4
Q9Y3B9	RRP15	282	1	0	0	0
Q9Y3B3	TMED7	224	1	0	0	0
Q9Y383	LUC7L2	392	6	2	5	3
Q9Y2X3	NOP58	529	22	3	1	0
Q9Y2W1	THRAP3	955	14	79	1	0
Q9Y2S7	POLDIP2	368	2	0	3	0
Q9Y2Q3	GSTK1	226	1	0	0	0
Q9Y2L1	DIS3	958	4	0	0	0
Q9Y2J2	EPB41L3	1087	0	0	2	0
Q9Y2A7	NCKAP1	1128	1	2	0	0
Q9Y295	DRG1	367	3	0	2	0
Q9Y285	FARSA	508	3	0	4	0
Q9Y277	VDAC3	283	2	1	0	0
Q9Y266	NUDC	331	4	1	14	1
Q9Y265	RUVBL1	456	16	3	4	5
Q9Y262	EIF3L	564	6	1	6	2
Q9Y230	RUVBL2	463	11	0	17	6
Q9UQL6	HDAC5	1122	0	0	1657	1877
Q9UQE7	SMC3	1217	26	13	7	3
Q9UQ80	PA2G4	394	15	0	24	0
Q9UPP1	PHF8	1060	2	1	0	0
Q9UNX4	WDR3	943	7	9	0	0
Q9UNL2	SSR3	185	2	0	0	1
Q9UNF1	MAGED2	606	0	0	4	2
Q9UNE7	null	303	2	0	0	0
Q9UM54	MYO6	1294	7	7	0	2
Q9ULX6	AKAP8L	646	3	2	5	3
Q9ULV3	CIZ1	898	0	5	0	0
Q9UKV3	ACIN1	1341	9	14	2	2
Q9UKL0	RCOR1	482	1	1	0	0
Q9UKD2	MRTO4	239	2	0	0	0
Q9UK61	FAM208A	1670	4	11	0	0
Q9UJZ1	STOML2	356	3	1	2	0
Q9UJV9	DDX41	622	11	14	34	6
Q9UJS0	SLC25A13	675	2	0	3	33
Q9UIG0	BAZ1B	1483	10	4	0	0
Q9UIA9	XPO7	1087	7	0	0	0
Q9UHX1	PUF60	559	0	3	8	3
Q9UHI6	DDX20	824	0	0	8	4
Q9UHB9	SRP68	627	2	2	0	0
Q9UFC0	LRWD1	647	0	1	0	0
Q9UBX3	SLC25A10	287	0	0	4	16
Q9UBU9	NXF1	619	1	2	0	0
Q9UBT2	UBA2	640	9	3	0	0
Q9UBS4	DNAJB11	358	0	1	12	3
Q9UBQ7	GRHPR	328	1	0	0	0
Q9UBQ5	EIF3K	218	0	0	1	0
Q9UBE0	SAE1	346	0	0	2	0
Q9P2K5	MYEF2	600	0	3	0	0
Q9P2J5	LARS	1176	29	9	15	4
Q9P2I0	CPSF2	782	3	0	0	0
Q9P258	RCC2	522	6	0	3	0
Q9P0L0	VAPA	249	2	1	0	0
Q9P0J0	NDUFA13	144	0	0	0	3
Q9NZM5	GLTSCR2	478	0	2	0	0
Q9NZL4	HSPBP1	362	0	2	4	0
Q9NZI8	IGF2BP1	577	22	6	9	10
Q9NZB2	FAM120A	1118	1	5	0	0
Q9NZ01	TECR	308	0	1	3	4
Q9NYK5	MRPL39	338	1	0	0	0
Q9NYF8	BCLAF1	920	11	53	3	0
Q9NYB0	TERF2IP	399	2	2	0	0
Q9NWM0	null	555	0	3	0	0
Q9NW13	RBM28	759	13	0	0	0
Q9NVP1	DDX18	670	5	0	0	0
Q9NVM9	C12orf11	706	0	0	1	0
Q9NVI7	ATAD3A	634	5	0	0	18
Q9NVI1	FANCI	1328	0	7	4	0
Q9NVA2	null	429	4	0	0	0
Q9NUQ7	UFSP2	469	0	0	5	1
Q9NU22	MDN1	5596	10	4	0	0
Q9NTJ3	SMC4	1288	8	5	6	3
Q9NSE4	IARS2	1012	10	0	1	0
Q9NRW1	null	208	1	0	1	0
Q9NR31	SAR1A	198	1	0	0	0
Q9NR30	DDX21	783	54	15	20	6
Q9NQW6	ANLN	1124	0	1	0	0
Q9NQS7	INCENP	918	0	3	0	0
Q9NQR4	NIT2	276	1	0	0	0
Q9NPH2	ISYNA1	558	4	0	0	0
Q9HDC9	APMAP	416	1	0	6	0
Q9HCS7	XAB2	855	0	1	0	0
Q9HCE1	MOV10	1003	9	0	1	0
Q9HCC0	MCCC2	563	2	0	0	0
Q9HC38	GLOD4	313	3	0	2	0
Q9HC35	EML4	981	11	1	0	0
Q9HB71	CACYBP	228	2	0	4	0
Q9HAV4	XPO5	1204	3	2	2	0
Q9H9B4	SFXN1	322	5	0	11	21
Q9H8H2	DDX31	851	1	0	0	0
Q9H8H0	NOL11	719	8	1	0	0
Q9H8G2	C9orf82	361	0	1	0	0
Q9H6S0	YTHDC2	1430	3	0	0	2
Q9H6R4	NOL6	1146	12	0	0	0
Q9H6R0	DHX33	707	1	0	0	0
Q9H583	HEATR1	2144	10	7	2	0
Q9H501	ESF1	851	2	0	0	0
Q9H3U1	UNC45A	944	4	1	2	0
Q9H3G5	CPVL	476	0	0	17	27
Q9H2W6	MRPL46	279	2	0	0	0
Q9H2P0	ADNP	1102	4	1	0	0
Q9H0U4	RAB1B	201	2	1	7	0
Q9H0S4	DDX47	455	3	1	21	10
Q9H0D6	XRN2	950	4	7	0	0
Q9H0A0	NAT10	1025	14	9	0	0
Q9GZR7	DDX24	859	2	0	0	0
Q9GZL7	WDR12	423	3	0	0	0
Q9C0J8	WDR33	1336	1	2	0	0
Q9BZZ5	API5	524	1	2	0	0
Q9BZK7	TBL1XR1	514	0	0	119	165
Q9BZJ0	CRNKL1	848	4	1	0	0
Q9BZF1	OSBPL8	889	0	3	0	2
Q9BZE4	GTPBP4	634	8	0	0	0
Q9BZE1	MRPL37	423	1	0	0	0
Q9BYG3	MKI67IP	293	3	0	0	0
Q9BY77	POLDIP3	421	2	3	6	0
Q9BXY0	MAK16	300	1	0	0	0
Q9BXW7	CECR5	423	0	0	0	2
Q9BXP5	SRRT	876	11	6	0	0
Q9BXJ9	NAA15	866	8	0	0	0
Q9BVP2	GNL3	549	8	1	0	0
Q9BVJ6	UTP14A	771	7	2	0	0
Q9BUQ8	null	820	7	0	0	0
Q9BUJ2	HNRNPUL1	856	16	33	23	4
Q9BU61	NDUFAF3	184	0	0	0	2
Q9BSJ8	ESYT1	1104	3	3	0	0
Q9BSJ2	TUBGCP2	902	0	0	4	0
Q9BS26	ERP44	406	0	2	4	0
Q9BRK5	SDF4	362	0	0	2	0
Q9BQG0	MYBBP1A	1328	16	1	0	0
Q9BQE3	TUBA1C	449	76	60	200	152
Q9BQA1	WDR77	342	2	1	7	0
Q9BQ87	TBL1Y	522	0	0	34	47
Q9BQ39	DDX50	737	10	5	3	2
Q9BPX3	NCAPG	1015	0	0	2	0
Q99873	PRMT1	361	9	12	6	2
Q99848	EBNA1BP2	306	4	0	0	0
Q99832	CCT7	543	22	12	22	10
Q99798	ACO2	780	10	1	3	0
Q99733	NAP1L4	375	4	0	0	0
Q99729	HNRNPAB	332	2	7	3	0
Q99714	HSD17B10	261	7	0	7	0
Q99623	PHB2	299	11	0	19	17
Q99615	DNAJC7	494	5	2	2	0
Q99613	EIF3C	913	18	7	6	0
Q99590	SCAF11	1463	1	2	0	0
Q99549	MPHOSPH8	860	1	0	0	0
Q99536	VAT1	393	3	0	3	0
Q99497	PARK7	189	4	0	7	0
Q99460	PSMD1	953	0	2	12	4
Q99459	CDC5L	802	10	8	4	0
Q99426	TBCB	244	1	0	0	0
Q96T88	UHRF1	793	2	0	0	0
Q96T76	MMS19	1030	0	0	6	0
Q96ST3	SIN3A	1273	0	1	0	0
Q96SI9	STRBP	672	11	2	0	0
Q96S59	RANBP9	729	0	0	2	0
Q96S44	TP53RK	253	1	0	0	0
Q96QK1	VPS35	796	10	4	8	1
Q96PK6	RBM14	669	11	4	8	8
Q96P63	SERPINB12	405	10	8	6	0
Q96NB2	SFXN2	322	0	0	0	4
Q96ME7	ZNF512	567	0	7	0	0
Q96KR1	ZFR	1074	7	5	1	0
Q96JB5	null	506	1	0	0	0
Q96I24	FUBP3	572	0	0	12	4
Q96HS1	PGAM5	289	2	0	5	8
Q96GQ7	DDX27	796	9	0	0	0
Q96FW1	OTUB1	271	3	0	2	0
Q96FV9	THOC1	657	1	0	0	0
Q96EY1	DNAJA3	480	0	0	7	12
Q96CX2	KCTD12	325	3	0	16	14
Q96CW1	AP2M1	435	0	0	4	2
Q96CN7	ISOC1	298	3	0	0	0
Q96C36	PYCR2	320	2	0	0	0
Q969X6	CIRH1A	686	1	0	0	0
Q969G3	SMARCE1	411	1	0	0	0
Q93009	USP7	1102	8	4	10	0
Q93008	USP9X	2570	10	4	0	0
Q92973	TNPO1	898	6	2	6	2
Q92945	KHSRP	711	14	4	39	14
Q92922	SMARCC1	1105	4	0	0	0
Q92900	UPF1	1129	12	6	5	0
Q92878	RAD50	1312	13	1	2	4
Q92841	DDX17	650	52	39	28	18
Q92804	TAF15	592	2	4	1	0
Q92797	SYMPK	1274	2	1	0	0
Q92769	HDAC2	488	5	3	13	6
Q92621	NUP205	2012	6	5	0	0
Q92620	DHX38	1227	4	2	0	0
Q92616	GCN1L1	2671	21	8	9	13
Q92613	PHF16	823	0	1	0	0
Q92598	HSPH1	858	13	1	4	0
Q92597	NDRG1	394	1	0	0	0
Q92572	AP3S1	193	0	0	2	0
Q92499	DDX1	740	15	8	13	3
Q8WXX5	DNAJC9	260	2	0	0	0
Q8WXF1	PSPC1	523	0	0	1	2
Q8WWQ0	PHIP	1821	10	7	0	0
Q8WWM7	ATXN2L	1075	0	2	2	0
Q8WVX9	FAR1	515	0	0	4	0
Q8WVV9	HNRPLL	542	0	0	8	4
Q8WVM8	SCFD1	642	4	0	0	0
Q8WUM4	PDCD6IP	868	6	2	9	0
Q8WUM0	NUP133	1156	0	4	3	0
Q8WTT2	NOC3L	800	6	0	0	0
Q8TEX9	IPO4	1081	5	0	7	0
Q8TEQ6	GEMIN5	1508	0	1	0	0
Q8TEM1	NUP210	1887	9	3	2	5
Q8TED0	UTP15	518	3	0	0	0
Q8TDL5	BPIFB1	484	1	0	0	0
Q8TCS8	PNPT1	783	5	0	0	0
Q8TC12	RDH11	318	1	0	0	0
Q8TAQ2	SMARCC2	1214	6	3	0	0
Q8NI36	WDR36	951	4	1	0	0
Q8NHV4	NEDD1	660	0	0	2	0
Q8NEJ9	NGDN	315	1	0	0	0
Q8ND82	ZNF280C	737	1	0	0	0
Q8ND56	LSM14A	463	0	4	0	0
Q8NCA5	FAM98A	519	1	1	0	0
Q8NC51	SERBP1	408	4	2	2	0
Q8NBS9	TXNDC5	432	1	0	4	1
Q8N9T8	KRI1	709	3	0	0	0
Q8N7H5	PAF1	531	1	0	2	0
Q8N684	CPSF7	471	2	1	1	0
Q8N1F7	NUP93	819	6	0	14	0
Q8N163	KIAA1967	923	16	9	10	0
Q8IYB8	SUPV3L1	786	3	0	0	0
Q8IXT5	RBM12B	1001	7	2	0	0
Q8IX01	SUGP2	1082	9	10	0	0
Q8IWX8	CHERP	916	2	4	0	0
Q8IV04	TBC1D10C	446	5	0	3	2
Q86YZ3	HRNR	2850	14	0	50	14
Q86XP3	DDX42	938	8	3	0	0
Q86X55	CARM1	608	1	1	1	0
Q86VS8	HOOK3	718	2	2	2	0
Q86VP6	CAND1	1230	31	7	17	1
Q86V81	THOC4	257	2	2	2	0
Q86UV5	USP48	1035	2	0	0	0
Q86UA1	PRPF39	669	0	0	5	0
Q86U86	PBRM1	1689	3	1	0	0
Q7Z7L1	SLFN11	901	2	1	6	0
Q7Z7K6	CENPV	275	3	1	0	0
Q7Z6Z7	HUWE1	4374	14	6	0	0
Q7Z4W1	DCXR	244	2	0	0	0
Q7Z4V5	HDGFRP2	671	0	1	0	0
Q7Z478	DHX29	1369	2	3	0	0
Q7Z417	NUFIP2	695	1	0	3	0
Q7Z3B4	NUP54	507	2	0	0	0
